"","spcode","spcode_4_3","accepted_species","dispersal_syndrome_modified","pollination_syndrome_modified","sexual_system_modified","mean_wd","seedlength_mm","seedlength_cat","n_mgg_1","p_mgg_1","n_p_ratio"
"99","macrco","macrcos","Macrolobium costaricense","dani","pins","ssher",0.614,NA,"30_to_50mm",28.27,1.32,21.4166666666667
"100","macrha","macrhar","Macrolobium hartshornii","dvar","pins",NA,0.614,NA,NA,28.27,1.32,21.4166666666667
"101","macama","macrmac","Macrohasseltia macroterantha","dwin","pins",NA,0.60142650396498,NA,NA,33.51,1.36,24.6397058823529
"102","manich","manichi","Manilkara chicle","dvar","pmam","ssher",1.04,NA,NA,22.9,0.83,27.5903614457831
"103","manist","manista","Manilkara staminodella","dani","pins","ssher",0.867939703153989,NA,NA,22.9,0.83,27.5903614457831
"104","maniza","manizap","Manilkara zapota","dvar","pins","ssher",0.867939703153989,NA,NA,22.9,0.83,27.5903614457831
"105","marapa","marapan","Maranthes panamensis","dani","pins","ssher",0.60142650396498,NA,">100mm",20.32,0.59,34.4406779661017
"106","marila","marilax","Marila laxiflora","dwin","pins","ssher",0.60142650396498,NA,"<1mm",21.81,1.04,20.9711538461538
"107","micomu","micomul","Miconia multispicata","dani","pins","ssher",0.624183333333333,NA,"<1mm",25.39,1.12,22.6696428571429
"108","micrcr","micrcro","Micropholis crotonoides","dani","pins","ssher",0.656777272727273,NA,NA,27.77,0.66,42.0757575757576
"109","micrme","micrmel","Micropholis melinoniana","dvar","pins","ssher",0.53,NA,NA,2.9,0.7,4.14285714285714
"110","minqgu","minqgui","Minquartia guianensis","dani","pins","ssher",0.786714285714286,NA,"30_to_50mm",26.6,1.36,19.5588235294118
"111","mortan","mortani","Mortoniodendron anisophyllum","dani","pins","ssher",0.60142650396498,NA,NA,28.82,1.13,25.5044247787611
"112","mourgl","mourgle","Mouriri gleasoniana","dani","pins","ssher",0.84,NA,"15_to_30mm",15.1,0.8,18.875
"113","naucna","naucnag","Naucleopsis naga","dani","pins","ssdio",0.6505,NA,"30_to_50mm",21.89,0.77,28.4285714285714
"114","ochrpy","ochrpyr","Ochroma pyramidale","dvar","pmam","ssher",0.1485,3.3,"1_to_6mm",21.9,1.4,15.6428571428571
"115","ocotat","ocotati","Ocotea atirrensis","dani","pins","ssher",0.48,NA,"15_to_30mm",22.2,0.9,24.6666666666667
"116","ocotin","ocotins","Ocotea insularis","dani","pins","ssdio",0.512813157894737,NA,"15_to_30mm",22.3,1,22.3
"117","ocotma","ocotmac","Ocotea macropoda","dani","pins","ssdio",0.512813157894737,NA,"1_to_6mm",25.9,1.3,19.9230769230769
